Parámetro;región;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
Evapotranspiración de referencia;PIRINEO ORIENTAL;34.0;40.7;77.7;79.3;112.6;157.2;165.3;145.9;97.3;57.0;32.6;25.6;1025.2
Evapotranspiración de referencia;NORTE Y NOROESTE;18.7;39.8;60.2;64.5;100.0;94.2;116.0;100.6;76.2;44.3;18.6;19.1;752.2
Evapotranspiración de referencia;DUERO;21.9;38.6;74.4;70.9;132.9;159.9;181.6;156.2;101.2;58.6;19.1;16.7;1032.0
Evapotranspiración de referencia;TAJO;30.5;46.0;89.8;82.4;165.0;198.0;218.2;188.6;125.1;73.6;29.1;23.1;1269.4
Evapotranspiración de referencia;GUADIANA;30.8;49.9;93.9;90.0;178.3;201.8;221.0;200.8;133.7;82.7;33.7;25.5;1342.1
Evapotranspiración de referencia;GUADALQUIVIR;32.2;50.8;93.3;94.6;178.7;193.2;207.8;197.1;124.7;87.1;34.6;32.7;1326.8
Evapotranspiración de referencia;SUR;39.2;50.1;86.7;96.7;157.7;175.6;195.1;172.1;111.0;90.3;54.0;44.2;1272.7
Evapotranspiración de referencia;SEGURA;44.5;51.9;88.9;92.6;150.5;187.9;208.8;177.1;102.3;84.7;54.9;39.1;1283.2
Evapotranspiración de referencia;JÚCAR;41.3;49.3;86.9;80.5;136.4;180.5;199.3;167.0;103.0;75.4;43.2;32.8;1195.6
Evapotranspiración de referencia;EBRO;29.0;40.9;76.1;76.7;120.7;176.3;182.9;156.8;103.6;64.3;27.2;24.0;1078.5
