Parámetro;región;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
Evapotranspiración de referencia;A CORUÑA;23.4;42.4;58.8;63.1;99.1;87.3;108.6;94.5;75.1;38.0;20.1;17.1;727.5
Evapotranspiración de referencia;ALBACETE;37.9;51.2;88.3;79.8;151.3;199.7;223.3;188.5;105.9;82.2;34.8;26.5;1269.4
Evapotranspiración de referencia;ALICANTE/ALACANT;46.8;51.6;90.1;93.8;144.0;180.4;198.7;164.6;104.5;84.5;66.3;44.8;1270.1
Evapotranspiración de referencia;ALMERIA;40.3;48.9;89.8;102.1;157.4;183.5;207.8;173.3;107.6;90.1;62.4;46.5;1309.7
Evapotranspiración de referencia;ARABA/ALAVA;17.2;36.9;57.6;62.5;87.8;126.0;126.8;111.8;73.8;52.5;19.3;19.4;791.6
Evapotranspiración de referencia;ASTURIAS;17.8;39.7;58.7;66.9;96.1;89.0;106.2;93.6;70.8;47.3;21.7;21.6;729.4
Evapotranspiración de referencia;AVILA;25.3;44.8;81.0;71.2;145.9;176.4;198.9;169.4;107.2;67.8;22.0;22.1;1132.0
Evapotranspiración de referencia;BADAJOZ;29.0;48.7;93.0;93.4;185.2;194.7;212.6;199.6;144.3;83.3;34.7;27.0;1345.5
Evapotranspiración de referencia;ILLES BALEARS;45.0;45.4;76.0;90.9;128.1;156.9;181.8;154.4;99.4;71.7;49.0;39.1;1137.7
Evapotranspiración de referencia;BARCELONA;27.8;38.3;74.9;78.7;111.0;161.3;167.3;146.2;96.1;55.2;31.0;23.0;1010.8
Evapotranspiración de referencia;BIZKAIA;17.9;48.4;59.1;64.3;83.4;99.2;107.5;95.6;71.6;53.5;22.6;25.9;749.0
Evapotranspiración de referencia;BURGOS;20.0;37.3;65.4;63.9;106.1;147.4;157.5;138.8;86.1;55.9;17.6;16.8;912.8
Evapotranspiración de referencia;CACERES;31.3;47.5;93.5;89.8;179.3;187.2;210.7;191.9;137.3;77.8;32.0;23.1;1301.4
Evapotranspiración de referencia;CADIZ;38.3;57.8;99.8;102.7;174.0;169.2;178.5;184.6;123.0;88.9;39.1;41.2;1297.1
Evapotranspiración de referencia;CANTABRIA;19.3;40.4;55.4;63.5;84.6;93.7;105.0;93.5;66.8;49.1;23.0;23.5;717.8
Evapotranspiración de referencia;CASTELLON/CASTELLÓ;50.2;52.5;91.7;85.7;133.5;171.4;187.0;155.8;103.6;74.3;53.2;40.4;1199.3
Evapotranspiración de referencia;CEUTA;60.9;59.6;86.7;95.6;126.1;131.3;135.2;134.1;85.8;82.0;64.2;53.3;1114.8
Evapotranspiración de referencia;CIUDAD REAL;30.8;49.1;95.0;86.3;177.7;211.2;231.0;203.7;123.6;81.8;31.8;22.8;1344.8
Evapotranspiración de referencia;CORDOBA;31.4;48.7;93.9;99.0;185.8;199.7;215.3;203.4;133.3;89.9;36.0;29.7;1366.1
Evapotranspiración de referencia;CUENCA;33.1;49.1;84.8;73.5;141.1;197.7;220.8;178.2;111.5;71.2;24.8;22.7;1208.5
Evapotranspiración de referencia;GIPUZKOA;15.0;46.6;59.5;65.0;82.6;108.8;109.7;98.6;73.7;56.7;21.3;24.6;762.1
Evapotranspiración de referencia;GIRONA;34.6;39.5;78.2;76.1;111.8;153.0;159.9;144.6;95.1;54.9;29.2;24.7;1001.6
Evapotranspiración de referencia;GRANADA;28.8;43.5;79.9;82.1;157.8;183.8;203.7;178.4;106.5;83.4;33.8;33.3;1215.0
Evapotranspiración de referencia;GUADALAJARA;28.2;41.6;78.8;71.9;138.1;194.5;208.7;172.1;108.7;64.8;21.4;22.0;1150.8
Evapotranspiración de referencia;HUELVA;35.8;55.4;95.7;98.9;173.8;178.2;189.6;195.5;133.5;85.0;39.7;32.7;1313.8
Evapotranspiración de referencia;HUESCA;25.6;37.4;78.7;80.4;128.6;184.3;193.1;162.3;110.2;61.3;24.3;20.4;1106.6
Evapotranspiración de referencia;JAEN;28.5;47.3;92.7;86.9;179.9;203.9;221.8;200.5;116.2;82.0;28.7;29.8;1318.2
Evapotranspiración de referencia;LA RIOJA;27.8;39.7;69.2;70.6;106.8;150.9;155.5;138.0;89.8;62.0;25.9;26.2;962.4
Evapotranspiración de referencia;LAS PALMAS;71.9;89.4;96.0;110.3;129.2;131.2;143.1;156.5;116.3;98.3;72.1;67.5;1281.8
Evapotranspiración de referencia;LEON;22.0;34.5;67.6;67.6;119.5;124.3;153.1;130.4;89.4;48.9;16.4;14.9;888.6
Evapotranspiración de referencia;LLEIDA;26.7;35.9;72.9;76.7;118.3;171.5;179.4;151.8;102.0;56.7;24.2;20.7;1036.8
Evapotranspiración de referencia;LUGO;16.5;37.9;58.0;63.8;101.3;92.7;116.5;101.9;75.6;41.5;16.0;16.2;737.9
Evapotranspiración de referencia;MADRID;32.0;45.7;90.4;80.9;161.4;204.2;225.2;188.9;120.2;70.9;30.6;23.6;1274.0
Evapotranspiración de referencia;MALAGA;37.7;52.3;84.7;93.4;166.0;177.6;192.2;180.6;118.7;93.1;42.9;40.4;1279.6
Evapotranspiración de referencia;MELILLA;62.4;59.7;85.8;105.6;138.3;143.1;157.6;157.6;100.8;95.8;75.8;51.8;1234.3
Evapotranspiración de referencia;MURCIA;45.9;52.5;90.9;98.4;151.7;188.3;208.8;176.4;102.9;85.9;62.1;41.9;1305.7
Evapotranspiración de referencia;NAVARRA;25.5;40.4;65.6;69.5;101.9;157.6;160.3;139.7;95.1;59.5;20.0;19.9;955.0
Evapotranspiración de referencia;OURENSE;17.8;37.4;65.9;64.0;116.9;101.3;135.5;115.5;85.8;42.3;14.8;15.8;813.0
Evapotranspiración de referencia;PALENCIA;20.8;34.8;70.7;69.1;121.9;151.6;170.0;145.8;93.9;55.6;18.5;14.8;967.5
Evapotranspiración de referencia;PONTEVEDRA;20.3;37.5;66.3;67.0;113.9;93.2;124.0;104.6;85.4;38.5;16.9;17.4;785.0
Evapotranspiración de referencia;SALAMANCA;23.3;40.8;77.8;75.4;150.8;159.4;186.7;161.2;111.2;62.8;19.6;17.7;1086.7
Evapotranspiración de referencia;SANTA CRUZ DE TENERIFE;50.8;68.7;85.2;98.8;132.7;124.6;143.9;158.9;111.9;89.1;63.5;59.7;1187.8
Evapotranspiración de referencia;SEGOVIA;21.7;46.5;81.5;69.9;136.7;185.9;203.3;171.1;106.4;64.7;18.6;18.3;1124.6
Evapotranspiración de referencia;SEVILLA;36.0;55.9;98.0;103.8;186.5;191.0;199.9;203.2;137.8;93.2;41.1;36.9;1383.3
Evapotranspiración de referencia;SORIA;27.2;39.8;74.0;66.7;121.6;176.2;182.8;157.3;97.6;60.0;18.3;20.5;1042.0
Evapotranspiración de referencia;TARRAGONA;50.6;51.0;87.9;89.7;129.4;164.8;181.5;155.9;108.6;71.1;44.6;34.7;1169.8
Evapotranspiración de referencia;TERUEL;30.2;43.3;79.3;74.5;123.6;192.8;203.7;168.8;102.4;70.0;31.0;29.8;1149.4
Evapotranspiración de referencia;TOLEDO;30.6;49.4;97.8;87.8;180.0;218.8;238.7;207.7;132.7;81.6;35.1;24.6;1384.8
Evapotranspiración de referencia;VALENCIA/VALÈNCIA;46.7;50.6;90.9;87.0;141.9;176.3;192.0;165.8;103.8;79.1;56.1;39.4;1229.6
Evapotranspiración de referencia;VALLADOLID;19.4;38.3;79.5;75.7;141.3;173.6;196.5;169.6;109.9;63.0;22.9;16.7;1106.4
Evapotranspiración de referencia;ZAMORA;21.3;36.3;74.7;74.8;143.1;151.0;182.5;158.9;106.0;56.6;21.8;16.6;1043.6
Evapotranspiración de referencia;ZARAGOZA;36.1;47.2;87.7;86.0;139.0;203.2;207.5;180.6;120.5;75.4;34.4;27.6;1245.2
