Parámetro;región;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre
% Humedad del suelo sobre la capacidad máxima;PRINCIPADO DE ASTURIAS;100.0;89.5;81.2;88.1;74.1;73.1;54.5;44.2;51.8;95.6;100.0;95.8
% Humedad del suelo sobre la capacidad máxima;COMUNIDAD AUTÓNOMA DE BALEARES;84.6;68.4;50.5;41.0;28.5;13.4;6.2;10.8;26.7;57.9;80.2;80.3
% Humedad del suelo sobre la capacidad máxima;COMUNIDAD AUTÓNOMA DE CANTABRIA;100.0;85.4;81.8;86.8;74.7;62.8;62.2;55.7;71.7;96.2;100.0;95.0
% Humedad del suelo sobre la capacidad máxima;CIUDAD AUTÓNOMA DE CEUTA;95.1;74.3;50.5;60.6;24.5;9.5;3.6;1.3;1.1;13.8;78.6;90.1
% Humedad del suelo sobre la capacidad máxima;COMUNIDAD AUTÓNOMA DE LA RIOJA;73.8;67.9;54.1;65.4;54.3;35.9;30.3;21.1;28.7;38.6;71.5;74.0
% Humedad del suelo sobre la capacidad máxima;COMUNIDAD DE MADRID;61.8;47.1;30.5;55.1;20.8;6.2;1.8;11.3;25.6;33.2;56.2;80.8
% Humedad del suelo sobre la capacidad máxima;CIUDAD AUTÓNOMA DE MELILLA;26.2;19.7;40.8;28.9;10.9;7.2;2.4;1.0;7.5;21.6;41.7;44.1
% Humedad del suelo sobre la capacidad máxima;REGIÓN DE MURCIA;43.2;32.9;28.3;63.1;29.3;11.6;4.4;6.4;58.0;50.6;43.4;55.0
% Humedad del suelo sobre la capacidad máxima;COMUNIDAD FORAL DE NAVARRA;83.0;72.6;63.2;70.2;70.2;45.1;42.1;31.8;33.0;48.7;82.4;83.1
% Humedad del suelo sobre la capacidad máxima;COMUNIDAD AUTÓNOMA DE CANARIAS;26.0;22.3;24.7;19.2;9.3;5.6;3.2;1.7;2.1;10.2;13.6;20.8
% Humedad del suelo sobre la capacidad máxima;COMUNIDAD AUTÓNOMA DE ANDALUCÍA;79.0;61.1;43.6;53.9;20.9;8.1;3.1;2.3;15.9;17.5;51.4;76.9
% Humedad del suelo sobre la capacidad máxima;COMUNIDAD AUTÓNOMA DE ARAGÓN;76.7;62.2;46.7;57.0;43.1;19.7;15.1;20.4;19.9;39.3;55.4;64.6
% Humedad del suelo sobre la capacidad máxima;COMUNIDAD AUTÓNOMA DE CASTILLA-LA MANCHA;60.5;48.3;36.2;66.3;31.2;12.0;5.2;7.2;23.2;27.6;53.9;73.6
% Humedad del suelo sobre la capacidad máxima;COMUNIDAD AUTÓNOMA DE CASTILLA Y LEÓN;82.8;69.5;52.9;65.4;36.0;23.7;16.1;14.0;21.2;47.4;81.2;92.4
% Humedad del suelo sobre la capacidad máxima;COMUNIDAD AUTÓNOMA DE CATALUÑA;85.4;71.3;50.7;54.9;50.8;28.7;26.4;26.2;30.3;73.6;77.4;87.7
% Humedad del suelo sobre la capacidad máxima;COMUNIDAD AUTÓNOMA DE EXTREMADURA;82.8;63.2;43.8;53.6;17.8;5.5;1.8;2.6;7.0;18.1;61.0;86.4
% Humedad del suelo sobre la capacidad máxima;COMUNIDAD AUTÓNOMA DE GALICIA;100.0;88.4;77.0;92.2;62.1;59.0;38.6;33.6;42.0;96.9;100.0;97.3
% Humedad del suelo sobre la capacidad máxima;COMUNIDAD AUTÓNOMA DEL PAÍS VASCO;99.6;84.6;82.1;89.4;85.9;61.3;63.4;49.8;59.2;79.1;99.3;96.5
% Humedad del suelo sobre la capacidad máxima;COMUNITAT VALENCIANA;58.3;45.3;43.1;71.6;40.5;17.4;8.7;15.8;43.7;44.7;38.8;62.8
