Parámetro;región;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
Precipitación;PIRINEO ORIENTAL;177.9;2.6;61.1;153.2;64.2;113.0;38.7;64.3;56.7;46.0;89.5;18.9;886.1
Precipitación;NORTE Y NOROESTE;114.3;52.1;137.4;115.2;55.9;64.6;12.7;90.0;71.4;188.1;72.5;323.0;1297.2
Precipitación;DUERO;34.6;6.2;56.3;109.1;42.8;34.2;17.6;26.9;47.6;97.7;45.6;65.0;583.6
Precipitación;TAJO;43.2;2.4;86.8;94.3;50.1;13.8;8.8;16.3;48.6;91.4;87.7;51.9;595.3
Precipitación;GUADIANA;36.7;1.9;70.0;75.9;46.7;4.8;6.1;11.0;20.9;58.4;89.1;48.9;470.4
Precipitación;GUADALQUIVIR;57.2;1.7;70.2;77.6;50.9;4.8;3.7;5.2;14.1;43.6;85.3;52.7;467.0
Precipitación;SUR;75.5;1.4;89.7;52.1;33.5;3.8;1.1;0.5;14.4;25.6;72.4;21.6;391.6
Precipitación;SEGURA;67.4;1.8;119.3;55.5;31.6;12.2;9.9;7.3;12.4;9.4;48.9;17.6;393.3
Precipitación;JÚCAR;114.3;1.5;138.0;70.8;48.5;24.6;17.4;16.0;19.2;14.2;116.5;25.9;606.9
Precipitación;EBRO;83.0;3.7;99.9;87.4;78.6;71.1;17.6;23.6;37.1;56.6;51.4;69.3;679.3
