Parámetro;región;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre
% Humedad del suelo sobre la capacidad máxima;PIRINEO ORIENTAL;78.3;78.7;63.3;71.0;53.4;39.9;27.7;25.7;42.3;46.6;76.4;70.4
% Humedad del suelo sobre la capacidad máxima;NORTE Y NOROESTE;99.6;97.5;79.1;86.7;75.8;82.2;53.3;36.7;59.4;86.0;95.6;96.7
% Humedad del suelo sobre la capacidad máxima;DUERO;87.9;91.0;62.3;68.8;45.9;39.8;15.9;9.6;30.9;50.2;65.0;78.1
% Humedad del suelo sobre la capacidad máxima;TAJO;89.0;85.2;54.3;68.0;36.8;24.8;9.0;11.1;41.4;78.8;73.9;83.8
% Humedad del suelo sobre la capacidad máxima;GUADIANA;86.6;81.3;51.3;54.2;25.2;15.3;4.4;4.4;26.8;57.1;53.9;72.4
% Humedad del suelo sobre la capacidad máxima;GUADALQUIVIR;85.9;81.0;54.1;52.8;26.0;13.4;4.6;3.5;12.4;25.2;33.8;65.4
% Humedad del suelo sobre la capacidad máxima;SUR;66.3;55.6;44.8;48.6;33.4;12.5;4.8;1.9;7.6;14.8;24.2;35.6
% Humedad del suelo sobre la capacidad máxima;SEGURA;39.9;33.3;39.6;47.4;41.1;26.4;11.9;7.7;14.4;18.7;29.2;26.1
% Humedad del suelo sobre la capacidad máxima;JÚCAR;71.7;66.3;58.7;74.7;51.4;37.1;19.9;21.1;35.6;47.4;56.1;52.8
% Humedad del suelo sobre la capacidad máxima;EBRO;75.7;74.5;55.7;61.6;47.2;44.2;26.6;19.7;34.0;41.5;73.3;75.2
