Parámetro;región;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre
% Humedad del suelo sobre una capacidad de 25 mm;PRINCIPADO DE ASTURIAS;66.0;67.6;93.6;69.2;51.2;54.4;2.8;55.6;92.4;69.2;97.2;93.2
% Humedad del suelo sobre una capacidad de 25 mm;COMUNIDAD AUTÓNOMA DE BALEARES;30.4;6.8;79.6;19.6;23.6;0.8;0.8;23.6;75.2;17.6;83.2;57.2
% Humedad del suelo sobre una capacidad de 25 mm;COMUNIDAD AUTÓNOMA DE CANTABRIA;89.6;68.8;98.0;68.4;12.4;47.2;3.6;50.8;88.4;45.6;96.4;75.6
% Humedad del suelo sobre una capacidad de 25 mm;CIUDAD AUTÓNOMA DE CEUTA;49.2;38.0;87.6;27.6;0.8;0.4;0.4;0.4;17.6;5.6;65.2;48.8
% Humedad del suelo sobre una capacidad de 25 mm;COMUNIDAD AUTÓNOMA DE LA RIOJA;59.2;26.8;70.4;74.8;3.2;1.6;0.4;18.0;20.8;32.0;88.8;81.2
% Humedad del suelo sobre una capacidad de 25 mm;COMUNIDAD DE MADRID;41.6;30.0;94.8;72.0;0.8;0.4;2.8;0.8;20.4;53.2;90.4;83.2
% Humedad del suelo sobre una capacidad de 25 mm;CIUDAD AUTÓNOMA DE MELILLA;2.0;6.8;76.4;26.0;0.8;0.4;0.4;0.4;0.4;1.2;8.0;38.4
% Humedad del suelo sobre una capacidad de 25 mm;REGIÓN DE MURCIA;18.0;5.2;92.4;43.6;0.4;0.8;0.4;4.8;26.0;9.6;11.6;23.2
% Humedad del suelo sobre una capacidad de 25 mm;COMUNIDAD FORAL DE NAVARRA;70.4;40.0;62.4;71.2;5.6;16.0;2.0;18.0;46.0;40.8;92.8;85.6
% Humedad del suelo sobre una capacidad de 25 mm;COMUNIDAD AUTÓNOMA DE CANARIAS;41.6;34.8;34.4;5.6;4.0;2.4;0.4;6.0;67.6;5.2;5.6;34.0
% Humedad del suelo sobre una capacidad de 25 mm;COMUNIDAD AUTÓNOMA DE ANDALUCÍA;22.0;21.2;86.0;45.2;0.8;0.4;0.4;1.2;9.2;16.0;50.8;57.2
% Humedad del suelo sobre una capacidad de 25 mm;COMUNIDAD AUTÓNOMA DE ARAGÓN;34.4;15.2;68.0;54.4;5.2;15.2;11.6;22.8;28.8;35.2;83.2;68.4
% Humedad del suelo sobre una capacidad de 25 mm;COMUNIDAD AUTÓNOMA DE CASTILLA-LA MANCHA;34.0;24.8;93.2;64.4;0.8;0.4;1.6;4.8;18.0;25.6;68.8;70.0
% Humedad del suelo sobre una capacidad de 25 mm;COMUNIDAD AUTÓNOMA DE CASTILLA Y LEÓN;51.6;26.8;77.2;58.4;4.0;5.2;0.4;12.0;27.6;78.8;94.8;90.0
% Humedad del suelo sobre una capacidad de 25 mm;COMUNIDAD AUTÓNOMA DE CATALUÑA;30.0;20.4;83.2;50.4;26.0;16.4;22.0;60.0;51.6;38.0;55.6;69.2
% Humedad del suelo sobre una capacidad de 25 mm;COMUNIDAD AUTÓNOMA DE EXTREMADURA;28.4;14.0;69.6;34.8;0.4;0.8;0.4;0.4;16.4;70.8;84.8;81.2
% Humedad del suelo sobre una capacidad de 25 mm;COMUNIDAD AUTÓNOMA DE GALICIA;54.8;61.2;72.8;62.0;58.0;46.4;1.2;13.2;80.0;99.6;100.0;100.0
% Humedad del suelo sobre una capacidad de 25 mm;COMUNIDAD AUTÓNOMA DEL PAÍS VASCO;96.0;68.8;91.6;78.0;16.8;43.2;2.0;26.0;84.4;40.8;97.6;80.8
% Humedad del suelo sobre una capacidad de 25 mm;COMUNITAT VALENCIANA;18.8;20.8;86.4;56.8;6.8;8.8;5.2;18.8;33.6;19.2;35.6;41.2
