Parámetro;región;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
Evapotranspiración de referencia;PRINCIPADO DE ASTURIAS;21.7;29.4;46.4;65.2;91.7;92.2;118.7;91.6;70.1;54.6;30.0;23.8;735.4
Evapotranspiración de referencia;COMUNIDAD AUTÓNOMA DE BALEARES;32.2;45.1;52.7;92.0;139.5;163.4;187.7;163.1;113.0;67.3;47.5;27.2;1130.7
Evapotranspiración de referencia;COMUNIDAD AUTÓNOMA DE CANTABRIA;21.1;28.9;49.4;64.2;93.2;94.1;121.7;96.5;72.6;64.3;31.4;27.7;765.1
Evapotranspiración de referencia;CIUDAD AUTÓNOMA DE CEUTA;59.9;57.8;65.2;99.8;129.2;158.6;147.8;136.7;116.5;61.1;54.4;40.6;1127.6
Evapotranspiración de referencia;COMUNIDAD AUTÓNOMA DE LA RIOJA;22.4;32.9;41.0;71.3;125.4;147.8;172.9;141.7;96.5;71.0;28.9;19.3;971.1
Evapotranspiración de referencia;COMUNIDAD DE MADRID;26.2;42.2;45.2;82.5;153.9;191.1;228.4;191.6;115.7;68.2;29.4;16.2;1190.6
Evapotranspiración de referencia;CIUDAD AUTÓNOMA DE MELILLA;57.6;57.0;70.0;104.9;140.9;171.9;160.6;146.3;129.9;76.3;64.5;47.5;1227.4
Evapotranspiración de referencia;REGIÓN DE MURCIA;40.6;53.1;50.5;95.9;162.6;193.4;197.5;181.5;127.4;75.2;57.4;35.4;1270.5
Evapotranspiración de referencia;COMUNIDAD FORAL DE NAVARRA;21.0;32.8;46.4;70.9;128.5;151.2;174.6;144.9;97.7;76.2;26.6;18.3;989.1
Evapotranspiración de referencia;COMUNIDAD AUTÓNOMA DE CANARIAS;72.1;81.5;91.2;116.7;140.9;141.7;172.3;155.3;107.4;92.8;71.8;58.4;1302.1
Evapotranspiración de referencia;COMUNIDAD AUTÓNOMA DE ANDALUCÍA;41.2;52.9;58.2;94.7;166.9;192.9;221.3;184.6;126.4;91.3;45.7;29.4;1305.5
Evapotranspiración de referencia;COMUNIDAD AUTÓNOMA DE ARAGÓN;26.1;41.5;44.5;82.6;147.9;182.0;194.5;167.8;106.9;70.5;33.2;20.0;1117.5
Evapotranspiración de referencia;COMUNIDAD AUTÓNOMA DE CASTILLA-LA MANCHA;28.7;43.5;45.8;82.2;160.3;196.2;223.3;189.5;120.6;79.8;36.1;21.0;1227.0
Evapotranspiración de referencia;COMUNIDAD AUTÓNOMA DE CASTILLA Y LEÓN;21.3;32.1;42.6;72.1;130.1;152.9;194.2;163.1;96.1;65.6;24.6;17.0;1011.7
Evapotranspiración de referencia;COMUNIDAD AUTÓNOMA DE CATALUÑA;25.0;36.5;44.7;80.1;132.5;158.9;172.6;142.1;91.7;55.2;31.2;17.9;988.4
Evapotranspiración de referencia;COMUNIDAD AUTÓNOMA DE EXTREMADURA;33.3;45.9;59.7;94.9;169.1;187.5;234.6;197.1;121.2;84.6;34.8;21.5;1284.2
Evapotranspiración de referencia;COMUNIDAD AUTÓNOMA DE GALICIA;21.9;28.9;48.1;68.0;102.6;96.5;141.6;115.0;72.8;47.9;23.7;17.5;784.5
Evapotranspiración de referencia;COMUNIDAD AUTÓNOMA DEL PAÍS VASCO;19.5;27.8;50.0;63.8;99.9;108.8;133.9;110.8;80.4;69.6;30.8;26.6;821.9
Evapotranspiración de referencia;COMUNITAT VALENCIANA;37.3;48.0;46.2;87.1;143.7;173.1;179.0;166.4;110.3;63.9;50.7;30.9;1136.6
