Parámetro;región;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre
% Humedad del suelo sobre una capacidad de 25 mm;PIRINEO ORIENTAL;42.0;75.2;9.2;43.2;51.2;49.2;10.0;47.2;28.0;34.8;26.4;22.4
% Humedad del suelo sobre una capacidad de 25 mm;NORTE Y NOROESTE;89.6;82.0;50.0;45.6;48.4;29.6;10.0;38.4;44.0;98.0;100.0;95.6
% Humedad del suelo sobre una capacidad de 25 mm;DUERO;76.4;58.4;14.4;8.0;62.0;7.6;0.8;1.6;24.8;97.2;100.0;88.4
% Humedad del suelo sobre una capacidad de 25 mm;TAJO;52.8;16.8;6.4;2.4;81.2;4.4;0.4;0.4;20.0;95.2;99.6;64.0
% Humedad del suelo sobre una capacidad de 25 mm;GUADIANA;47.6;11.6;2.0;1.6;60.4;1.2;0.4;0.4;10.4;88.8;90.8;54.8
% Humedad del suelo sobre una capacidad de 25 mm;GUADALQUIVIR;46.4;17.2;3.2;1.6;52.0;1.2;0.4;0.4;7.2;83.2;73.2;42.4
% Humedad del suelo sobre una capacidad de 25 mm;SUR;35.2;14.4;1.6;0.8;48.0;1.2;0.8;0.4;2.4;44.8;12.0;12.0
% Humedad del suelo sobre una capacidad de 25 mm;SEGURA;15.2;18.0;1.2;4.0;90.0;5.6;0.8;4.0;9.6;12.0;6.0;5.2
% Humedad del suelo sobre una capacidad de 25 mm;JÚCAR;30.8;20.8;1.2;2.0;77.6;9.2;0.8;7.2;19.2;30.4;22.0;15.2
% Humedad del suelo sobre una capacidad de 25 mm;EBRO;59.2;62.8;9.6;14.0;52.4;32.0;10.4;13.6;21.2;67.6;68.4;48.0
