Parámetro;región;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre
% Humedad del suelo sobre una capacidad de 25 mm;A CORUÑA;86.0;78.0;77.2;59.6;30.0;17.6;26.0;28.4;56.8;100.0;100.0;99.2
% Humedad del suelo sobre una capacidad de 25 mm;ALBACETE;30.8;13.6;1.2;1.6;91.6;6.4;0.4;0.8;14.8;42.0;18.8;15.6
% Humedad del suelo sobre una capacidad de 25 mm;ALICANTE/ALACANT;21.2;16.0;0.8;1.2;77.6;1.2;1.2;7.2;12.4;2.4;1.2;2.0
% Humedad del suelo sobre una capacidad de 25 mm;ALMERIA;25.2;8.8;0.8;2.0;62.8;1.2;0.8;0.4;3.2;15.6;2.4;2.0
% Humedad del suelo sobre una capacidad de 25 mm;ARABA/ALAVA;96.4;95.6;20.4;22.0;34.0;34.0;5.6;32.8;33.6;89.6;100.0;87.6
% Humedad del suelo sobre una capacidad de 25 mm;ASTURIAS;93.2;93.6;24.8;44.4;41.2;40.8;4.0;68.8;37.2;98.8;100.0;90.8
% Humedad del suelo sobre una capacidad de 25 mm;AVILA;72.4;36.4;9.2;2.4;91.6;3.2;0.4;0.4;17.6;96.0;100.0;70.0
% Humedad del suelo sobre una capacidad de 25 mm;BADAJOZ;50.0;10.8;2.8;2.0;47.2;0.4;0.4;0.4;9.6;92.4;99.6;61.2
% Humedad del suelo sobre una capacidad de 25 mm;ILLES BALEARS;76.0;98.8;5.6;1.2;40.4;2.0;0.8;56.4;26.4;28.4;20.0;12.4
% Humedad del suelo sobre una capacidad de 25 mm;BARCELONA;40.4;81.6;6.4;50.8;56.4;59.2;7.2;50.4;25.6;41.6;24.4;19.6
% Humedad del suelo sobre una capacidad de 25 mm;BIZKAIA;100.0;91.6;28.8;38.8;36.8;60.0;8.0;82.0;44.4;86.8;100.0;94.4
% Humedad del suelo sobre una capacidad de 25 mm;BURGOS;87.2;80.8;14.8;17.2;49.2;19.6;2.4;7.6;22.8;94.8;100.0;88.4
% Humedad del suelo sobre una capacidad de 25 mm;CACERES;51.2;10.4;5.6;2.8;82.0;0.4;0.4;0.4;19.2;96.8;100.0;67.2
% Humedad del suelo sobre una capacidad de 25 mm;CADIZ;50.0;24.8;4.8;1.2;19.2;0.4;0.4;0.4;5.2;85.2;67.2;34.4
% Humedad del suelo sobre una capacidad de 25 mm;CANTABRIA;96.8;96.8;25.6;44.0;52.4;55.6;15.6;65.6;34.8;94.0;100.0;84.0
% Humedad del suelo sobre una capacidad de 25 mm;CASTELLON/CASTELLÓ;10.8;30.8;1.6;10.8;61.6;18.4;2.0;20.0;22.8;7.6;3.6;5.2
% Humedad del suelo sobre una capacidad de 25 mm;CEUTA;91.2;79.2;4.8;0.8;43.2;6.0;0.4;0.4;1.2;77.6;8.8;24.4
% Humedad del suelo sobre una capacidad de 25 mm;CIUDAD REAL;51.2;12.8;1.6;0.8;75.6;1.2;0.4;0.4;11.2;88.0;83.2;52.0
% Humedad del suelo sobre una capacidad de 25 mm;CORDOBA;48.0;17.2;3.2;0.8;58.8;0.4;0.4;0.4;11.2;91.2;96.0;48.8
% Humedad del suelo sobre una capacidad de 25 mm;CUENCA;56.0;15.6;2.4;1.2;81.6;6.0;0.4;0.4;16.8;80.4;76.0;46.4
% Humedad del suelo sobre una capacidad de 25 mm;GIPUZKOA;99.2;95.2;37.6;57.6;26.4;64.8;18.0;84.4;42.8;88.8;100.0;94.4
% Humedad del suelo sobre una capacidad de 25 mm;GIRONA;52.0;72.4;15.6;50.0;47.6;50.0;11.6;60.4;32.0;23.6;35.2;33.2
% Humedad del suelo sobre una capacidad de 25 mm;GRANADA;42.4;11.6;1.2;4.0;60.4;2.0;0.4;0.4;2.8;58.4;16.4;24.4
% Humedad del suelo sobre una capacidad de 25 mm;GUADALAJARA;64.0;32.0;9.2;4.8;69.2;12.0;0.4;0.4;28.8;96.4;99.6;64.0
% Humedad del suelo sobre una capacidad de 25 mm;HUELVA;36.4;15.6;2.8;1.6;28.0;0.4;0.4;0.4;6.8;90.4;99.6;48.0
% Humedad del suelo sobre una capacidad de 25 mm;HUESCA;63.6;70.4;11.2;12.0;61.6;39.2;20.0;18.4;25.6;76.4;74.8;46.0
% Humedad del suelo sobre una capacidad de 25 mm;JAEN;56.0;30.8;4.4;0.8;67.2;3.2;0.4;0.4;7.6;87.6;62.8;50.0
% Humedad del suelo sobre una capacidad de 25 mm;LA RIOJA;78.0;90.0;10.8;13.2;54.4;21.2;2.0;1.2;20.0;89.2;95.2;66.4
% Humedad del suelo sobre una capacidad de 25 mm;LAS PALMAS;13.6;22.8;0.8;0.4;0.8;0.4;0.4;0.4;1.6;8.4;14.8;20.0
% Humedad del suelo sobre una capacidad de 25 mm;LEON;82.0;68.4;26.8;14.0;40.4;12.4;1.2;8.0;35.2;99.6;100.0;95.6
% Humedad del suelo sobre una capacidad de 25 mm;LLEIDA;67.2;72.4;11.2;24.0;62.0;73.2;23.2;23.6;18.8;65.6;58.8;41.6
% Humedad del suelo sobre una capacidad de 25 mm;LUGO;91.2;86.8;56.8;43.2;38.8;17.6;2.4;17.6;44.8;100.0;100.0;99.6
% Humedad del suelo sobre una capacidad de 25 mm;MADRID;51.6;15.2;6.4;1.6;80.4;4.8;0.4;0.4;21.6;95.6;100.0;65.2
% Humedad del suelo sobre una capacidad de 25 mm;MALAGA;45.2;19.6;2.0;0.8;40.0;0.4;0.4;0.4;2.0;68.4;25.2;23.2
% Humedad del suelo sobre una capacidad de 25 mm;MELILLA;72.0;72.8;1.2;0.8;43.6;0.8;0.4;0.4;4.4;18.0;2.4;3.6
% Humedad del suelo sobre una capacidad de 25 mm;MURCIA;7.6;16.4;0.8;4.8;88.0;2.8;0.8;6.0;6.8;3.2;1.6;1.6
% Humedad del suelo sobre una capacidad de 25 mm;NAVARRA;76.0;80.0;27.2;30.4;57.6;30.8;10.0;32.0;32.0;90.8;93.2;76.8
% Humedad del suelo sobre una capacidad de 25 mm;OURENSE;82.4;68.0;56.4;32.4;92.4;9.6;1.2;2.4;41.6;100.0;100.0;99.6
% Humedad del suelo sobre una capacidad de 25 mm;PALENCIA;82.4;77.2;14.4;18.0;30.4;10.0;0.8;0.8;25.6;97.6;100.0;95.2
