Parámetro;región;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre
% Humedad del suelo sobre la capacidad máxima;A CORUÑA;97.9;94.5;95.9;91.4;67.0;70.1;50.7;40.8;77.9;100.0;100.0;99.9
% Humedad del suelo sobre la capacidad máxima;ALBACETE;43.1;37.1;23.8;12.3;44.3;31.6;11.2;4.7;18.5;21.9;20.8;20.7
% Humedad del suelo sobre la capacidad máxima;ALICANTE/ALACANT;36.2;37.5;22.2;11.7;60.6;34.7;14.5;8.3;22.9;15.3;11.0;9.2
% Humedad del suelo sobre la capacidad máxima;ALMERIA;26.4;19.2;8.9;3.6;59.6;18.9;5.8;1.9;11.0;12.1;7.5;6.1
% Humedad del suelo sobre la capacidad máxima;ARABA/ALAVA;94.2;94.5;78.2;66.8;61.0;71.5;50.4;37.7;50.3;71.0;91.7;93.0
% Humedad del suelo sobre la capacidad máxima;ASTURIAS;99.0;99.0;79.3;70.6;70.6;76.1;44.5;51.4;62.2;94.4;100.0;98.6
% Humedad del suelo sobre la capacidad máxima;AVILA;90.8;76.1;58.9;28.2;56.8;38.5;10.2;3.0;40.5;91.3;97.5;91.8
% Humedad del suelo sobre la capacidad máxima;BADAJOZ;82.1;62.6;42.3;19.8;20.4;10.5;2.8;1.0;13.2;72.9;83.0;80.0
% Humedad del suelo sobre la capacidad máxima;ILLES BALEARS;74.9;94.5;64.6;42.3;38.1;23.8;10.4;33.9;35.5;40.8;36.3;33.2
% Humedad del suelo sobre la capacidad máxima;BARCELONA;48.4;59.8;43.8;36.8;45.9;51.9;29.7;30.0;34.7;36.3;33.7;32.3
% Humedad del suelo sobre la capacidad máxima;BIZKAIA;100.0;98.8;82.7;78.5;81.5;88.6;58.7;71.2;82.5;94.1;100.0;99.0
% Humedad del suelo sobre la capacidad máxima;BURGOS;93.4;89.4;70.0;50.8;44.2;50.2;26.3;16.2;25.1;67.6;89.3;91.1
% Humedad del suelo sobre la capacidad máxima;CACERES;88.9;65.5;49.6;22.4;43.4;22.2;5.2;1.5;24.8;96.8;99.9;92.8
% Humedad del suelo sobre la capacidad máxima;CADIZ;88.8;71.9;53.9;25.1;21.9;11.2;3.9;1.5;17.8;50.5;50.8;51.0
% Humedad del suelo sobre la capacidad máxima;CANTABRIA;99.5;99.4;78.1;67.8;78.5;80.5;53.3;62.4;63.0;86.2;98.5;96.2
% Humedad del suelo sobre la capacidad máxima;CASTELLON/CASTELLÓ;56.7;61.8;39.3;25.1;51.0;42.3;24.2;17.2;46.7;34.5;27.4;24.0
% Humedad del suelo sobre la capacidad máxima;CEUTA;98.5;96.1;59.4;25.5;30.6;28.3;7.5;2.6;2.1;34.3;23.8;44.4
% Humedad del suelo sobre la capacidad máxima;CIUDAD REAL;74.2;59.4;39.4;18.7;36.3;24.2;7.1;2.5;18.9;46.5;55.4;54.3
% Humedad del suelo sobre la capacidad máxima;CORDOBA;77.5;64.2;44.2;20.1;27.0;16.3;4.6;1.6;12.9;53.4;68.4;67.5
% Humedad del suelo sobre la capacidad máxima;CUENCA;79.7;66.0;46.9;26.8;33.2;32.0;13.3;6.3;24.5;41.2;53.1;54.8
% Humedad del suelo sobre la capacidad máxima;GIPUZKOA;99.9;99.2;86.3;88.7;82.2;90.4;63.8;83.1;81.1;96.7;100.0;99.1
% Humedad del suelo sobre la capacidad máxima;GIRONA;68.2;81.0;63.3;56.7;59.2;57.1;34.5;40.0;43.1;38.5;39.3;40.2
% Humedad del suelo sobre la capacidad máxima;GRANADA;56.8;43.8;27.1;13.1;38.1;22.5;7.2;2.8;8.3;25.1;20.7;25.2
% Humedad del suelo sobre la capacidad máxima;GUADALAJARA;87.6;76.8;62.6;38.8;35.9;37.3;15.3;7.2;31.2;75.2;89.8;87.5
% Humedad del suelo sobre la capacidad máxima;HUELVA;83.4;69.8;46.3;20.9;20.7;13.2;3.9;1.5;8.4;86.3;90.8;82.0
% Humedad del suelo sobre la capacidad máxima;HUESCA;83.5;83.5;59.9;40.6;44.3;55.1;36.7;25.8;37.1;58.8;66.6;63.1
% Humedad del suelo sobre la capacidad máxima;JAEN;70.8;61.5;47.9;26.1;38.5;26.5;10.5;4.8;10.7;36.3;40.3;44.8
% Humedad del suelo sobre la capacidad máxima;LA RIOJA;64.6;68.9;52.1;40.2;37.8;49.0;28.1;14.6;35.3;54.6;65.8;65.6
% Humedad del suelo sobre la capacidad máxima;LAS PALMAS;18.8;25.0;11.1;5.1;2.5;1.9;1.0;0.7;1.3;5.1;7.6;13.8
% Humedad del suelo sobre la capacidad máxima;LEON;96.9;90.7;77.7;53.5;43.4;49.0;23.5;14.1;47.5;94.2;98.8;98.7
