Parámetro;región;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
Precipitación;PRINCIPADO DE ASTURIAS;290.9;60.9;32.9;46.7;75.3;103.8;11.2;64.3;78.3;145.4;181.4;101.9;1193.0
Precipitación;COMUNIDAD AUTÓNOMA DE BALEARES;42.3;151.3;8.3;15.6;44.5;27.1;1.4;69.4;46.1;45.2;13.8;8.2;473.2
Precipitación;COMUNIDAD AUTÓNOMA DE CANTABRIA;313.5;65.9;26.5;44.2;106.9;95.4;26.9;78.7;70.0;90.3;187.2;105.2;1210.7
Precipitación;CIUDAD AUTÓNOMA DE CEUTA;92.8;83.8;37.3;0.0;47.6;54.2;0.0;0.0;9.1;67.1;6.9;58.2;457.0
Precipitación;COMUNIDAD AUTÓNOMA DE LA RIOJA;60.5;29.9;10.0;23.0;39.1;101.5;21.8;2.7;86.6;77.0;71.6;22.1;545.8
Precipitación;COMUNIDAD DE MADRID;28.6;2.7;22.3;6.4;67.6;65.1;2.6;0.0;149.4;149.2;71.3;26.1;591.3
Precipitación;CIUDAD AUTÓNOMA DE MELILLA;34.2;48.6;2.0;0.0;51.9;5.5;0.0;0.2;51.1;18.0;3.2;4.4;219.1
Precipitación;REGIÓN DE MURCIA;2.9;16.5;3.9;4.5;126.5;39.1;4.5;5.2;36.8;5.3;0.2;1.9;247.3
Precipitación;COMUNIDAD FORAL DE NAVARRA;128.7;32.4;32.2;60.2;75.1;111.4;33.7;43.2;139.0;108.6;136.4;84.7;985.6
Precipitación;COMUNIDAD AUTÓNOMA DE CANARIAS;36.6;44.7;3.2;3.2;3.8;15.7;0.6;2.1;9.7;19.9;31.2;26.8;197.5
Precipitación;COMUNIDAD AUTÓNOMA DE ANDALUCÍA;26.0;15.3;16.4;2.1;63.1;34.6;0.8;0.2;38.3;81.9;29.7;19.2;327.6
Precipitación;COMUNIDAD AUTÓNOMA DE ARAGÓN;35.8;20.9;7.3;11.0;44.6;107.8;26.5;9.7;64.4;65.0;49.6;15.3;457.9
Precipitación;COMUNIDAD AUTÓNOMA DE CASTILLA-LA MANCHA;29.2;4.5;11.1;4.4;69.7;63.3;2.6;0.7;74.5;82.4;46.9;16.7;406.0
Precipitación;COMUNIDAD AUTÓNOMA DE CASTILLA Y LEÓN;76.8;15.2;27.2;13.4;45.9;84.7;5.3;3.5;85.8;138.5;93.0;37.7;627.0
Precipitación;COMUNIDAD AUTÓNOMA DE CATALUÑA;19.0;43.4;6.9;22.5;68.7;86.2;25.4;31.7;54.2;36.6;25.2;13.4;433.2
Precipitación;COMUNIDAD AUTÓNOMA DE EXTREMADURA;44.2;3.6;21.3;7.3;50.6;37.3;0.1;0.1;56.5;162.7;82.3;25.9;491.9
Precipitación;COMUNIDAD AUTÓNOMA DE GALICIA;255.5;27.5;112.0;63.0;58.1;109.6;21.5;26.2;111.9;353.9;300.2;168.4;1607.8
Precipitación;COMUNIDAD AUTÓNOMA DEL PAÍS VASCO;227.8;47.4;36.0;57.5;89.3;112.0;26.9;67.7;93.4;94.2;188.7;119.6;1160.5
Precipitación;COMUNITAT VALENCIANA;5.1;34.7;2.4;4.1;108.0;50.5;15.2;12.5;85.8;6.5;2.6;3.3;330.7
